16, 12
855, 843, 843, 843, 843, 843, 843, 858, 858, 843, 843, 843, 862, 862, 862, 862
855, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 861, 861, 861, 861
870, 871, 870, 871, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843
868, 869, 868, 869, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 876
855, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 843, 877
872, 873, 843, 843, 850, 851, 848, 849, 848, 850, 848, 848, 880, 843, 880, 848
855, 875, 843, 843, 842, 846, 864, 855, 843, 842, 846, 847, 843, 843, 843, 843
859, 874, 843, 843, 842, 844, 845, 863, 841, 842, 844, 845, 860, 859, 860, 859
868, 869, 843, 843, 878, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879, 879
855, 843, 843, 843, 843, 843, 843, 843, 843, 843, 840, 840, 840, 840, 840, 840
867, 867, 857, 857, 843, 843, 843, 843, 843, 843, 840, 840, 840, 840, 840, 840
866, 866, 856, 856, 859, 859, 859, 859, 860, 859, 840, 840, 840, 840, 840, 840
