24, 16
918, 919, 917, 964, 910, 910, 910, 910, 910, 910, 918, 919, 917, 964, 910, 910, 910, 910, 910, 910, 918, 919, 917, 964
917, 917, 917, 963, 910, 910, 910, 910, 910, 910, 917, 917, 917, 963, 910, 910, 910, 910, 910, 910, 917, 917, 917, 963
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
921, 916, 915, 916, 910, 910, 910, 910, 910, 910, 921, 916, 915, 916, 910, 910, 910, 910, 910, 910, 921, 916, 915, 916
910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910
910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910
910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910
910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910, 910
918, 919, 917, 964, 910, 910, 910, 910, 910, 910, 918, 919, 917, 964, 910, 910, 910, 910, 910, 910, 918, 919, 917, 964
917, 917, 917, 963, 910, 910, 910, 910, 910, 910, 917, 917, 917, 963, 910, 910, 910, 910, 910, 910, 917, 917, 917, 963
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917, 910, 910, 910, 910, 910, 910, 917, 917, 917, 917
921, 916, 915, 916, 910, 910, 910, 910, 910, 910, 921, 916, 915, 916, 910, 910, 910, 910, 910, 910, 921, 916, 915, 916
