16, 18
147, 136, 136, 136, 136, 136, 136, 146, 136, 136, 136, 136, 136, 136, 136, 146
134, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 132, 132, 121, 134, 121, 121, 121, 121, 121, 150, 121, 134
134, 121, 132, 121, 121, 132, 121, 134, 121, 121, 157, 158, 121, 121, 121, 134
134, 121, 132, 132, 132, 132, 121, 134, 121, 121, 155, 156, 121, 121, 121, 134
134, 121, 121, 132, 132, 132, 121, 134, 121, 121, 153, 154, 157, 158, 121, 134
134, 121, 132, 132, 132, 121, 121, 134, 121, 150, 121, 121, 155, 156, 121, 134
134, 121, 132, 132, 132, 132, 121, 134, 121, 121, 121, 121, 153, 154, 121, 134
134, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
160, 136, 146, 121, 121, 147, 136, 161, 136, 146, 121, 121, 147, 136, 136, 161
134, 121, 121, 121, 121, 121, 121, 134, 131, 121, 121, 121, 121, 150, 121, 134
134, 121, 121, 121, 121, 121, 121, 134, 130, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 133, 136, 146, 121, 121, 147, 136, 136, 161
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
133, 144, 144, 144, 144, 144, 144, 144, 140, 144, 182, 144, 181, 144, 144, 133
