8, 14
260, 260, 260, 260, 260, 260, 260, 260
260, 259, 259, 259, 267, 259, 279, 260
260, 270, 278, 278, 271, 259, 260, 260
259, 259, 259, 259, 259, 259, 259, 259
316, 259, 259, 259, 259, 259, 259, 316
315, 259, 259, 259, 259, 259, 259, 315
259, 259, 259, 259, 259, 259, 259, 259
260, 270, 278, 278, 278, 278, 271, 260
260, 259, 259, 259, 259, 259, 259, 260
260, 260, 260, 260, 260, 260, 260, 260
316, 259, 259, 259, 259, 259, 259, 316
315, 259, 259, 259, 259, 259, 259, 315
260, 260, 260, 260, 260, 260, 260, 260
268, 268, 268, 268, 268, 268, 268, 268
