30, 18
147, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 147, 136, 136, 136, 136, 136, 136, 136, 136, 146
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 150, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 131, 121, 121, 121, 121, 131, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 130, 121, 157, 158, 121, 130, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 155, 156, 121, 121, 121, 134
160, 136, 136, 146, 121, 121, 147, 136, 136, 136, 136, 146, 121, 121, 147, 136, 136, 136, 167, 121, 134, 121, 121, 121, 155, 156, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 150, 134, 121, 134, 121, 131, 121, 155, 156, 121, 131, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 121, 130, 121, 155, 156, 121, 130, 121, 134
134, 121, 132, 121, 121, 121, 132, 132, 121, 134, 121, 121, 121, 121, 121, 121, 170, 170, 134, 121, 134, 121, 121, 121, 155, 156, 121, 121, 121, 134
134, 121, 132, 132, 121, 121, 132, 132, 121, 134, 136, 146, 121, 121, 147, 136, 172, 172, 134, 121, 134, 121, 121, 121, 155, 156, 121, 121, 121, 134
134, 121, 132, 132, 121, 132, 132, 132, 121, 134, 121, 150, 121, 121, 121, 121, 121, 121, 134, 121, 134, 121, 131, 121, 153, 154, 121, 131, 121, 134
134, 121, 132, 132, 132, 132, 132, 132, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 121, 130, 121, 121, 121, 121, 130, 121, 134
134, 121, 132, 132, 132, 132, 132, 132, 121, 134, 121, 121, 157, 158, 157, 158, 121, 121, 134, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 132, 132, 132, 132, 132, 132, 121, 134, 121, 121, 153, 154, 153, 154, 121, 121, 134, 121, 160, 136, 136, 146, 121, 121, 147, 136, 136, 161
134, 121, 132, 132, 132, 132, 132, 132, 121, 134, 121, 121, 121, 121, 121, 121, 121, 150, 134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 132, 132, 132, 132, 121, 132, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 170, 170, 170, 170, 170, 170, 170, 170, 134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
133, 144, 144, 144, 144, 144, 144, 144, 144, 133, 172, 172, 172, 172, 172, 172, 172, 172, 133, 144, 181, 144, 144, 144, 140, 144, 182, 144, 144, 133
