10, 12
352, 352, 372, 373, 351, 351, 372, 373, 352, 352
352, 352, 367, 370, 351, 351, 367, 370, 352, 352
352, 352, 352, 357, 351, 351, 352, 352, 352, 352
352, 352, 352, 355, 351, 351, 352, 352, 352, 352
352, 352, 352, 352, 351, 351, 352, 352, 352, 352
352, 352, 360, 360, 351, 351, 360, 360, 352, 352
352, 352, 358, 358, 358, 358, 358, 358, 352, 352
352, 352, 358, 358, 358, 358, 358, 358, 352, 352
352, 352, 358, 358, 358, 358, 358, 358, 352, 352
352, 352, 358, 358, 358, 358, 358, 358, 352, 352
352, 352, 352, 352, 351, 351, 352, 352, 352, 352
350, 350, 350, 350, 361, 361, 350, 350, 350, 350
