26, 18
147, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 146, 147, 136, 136, 136, 136, 136, 136, 146
134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 147, 136, 136, 136, 136, 136, 136, 136, 136, 146, 121, 134, 121, 121, 121, 150, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 131, 131, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 130, 130, 121, 134, 121, 157, 158, 121, 121, 157, 158, 121, 134, 121, 134, 136, 146, 121, 121, 147, 136, 136, 161
134, 121, 121, 121, 121, 121, 134, 121, 155, 156, 121, 121, 155, 156, 121, 134, 121, 134, 131, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 134, 121, 155, 156, 121, 121, 155, 156, 121, 134, 121, 134, 130, 121, 121, 121, 157, 158, 121, 134
134, 121, 170, 170, 170, 170, 134, 121, 153, 154, 121, 121, 153, 154, 121, 134, 121, 134, 131, 121, 121, 121, 155, 156, 121, 134
160, 136, 172, 172, 172, 172, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 130, 121, 121, 121, 155, 156, 121, 134
134, 121, 121, 121, 121, 150, 134, 121, 121, 121, 121, 121, 121, 121, 121, 134, 121, 134, 131, 121, 121, 121, 153, 154, 121, 134
134, 121, 121, 121, 121, 121, 160, 136, 136, 146, 121, 121, 147, 136, 136, 161, 121, 134, 130, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 157, 158, 134, 121, 121, 121, 121, 121, 121, 121, 131, 134, 121, 134, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 153, 154, 134, 121, 121, 121, 121, 121, 121, 121, 130, 133, 121, 133, 136, 146, 121, 121, 147, 136, 136, 161
134, 121, 121, 121, 121, 150, 134, 170, 141, 141, 141, 141, 143, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 121, 121, 134, 137, 121, 121, 121, 121, 142, 121, 121, 167, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
134, 121, 121, 121, 170, 170, 134, 137, 121, 121, 121, 121, 137, 121, 121, 134, 121, 121, 121, 121, 121, 121, 121, 121, 121, 134
160, 136, 136, 136, 172, 172, 160, 172, 136, 136, 136, 136, 136, 136, 136, 161, 182, 144, 181, 144, 144, 144, 140, 144, 144, 133
