10, 12
351, 351, 351, 351, 354, 354, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
366, 366, 366, 366, 351, 351, 366, 366, 366, 366
364, 364, 364, 364, 351, 351, 364, 364, 364, 364
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 402, 404, 403, 351
351, 351, 351, 351, 351, 351, 398, 401, 399, 351
402, 403, 402, 403, 351, 351, 351, 351, 351, 351
396, 397, 398, 399, 351, 351, 366, 366, 366, 366
350, 350, 350, 350, 400, 400, 364, 364, 364, 364
