10, 14
351, 351, 351, 351, 354, 354, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
351, 351, 351, 351, 351, 351, 351, 351, 351, 351
351, 351, 351, 357, 351, 351, 357, 351, 351, 351
356, 356, 356, 355, 351, 351, 355, 356, 356, 356
356, 351, 351, 351, 351, 351, 351, 351, 351, 356
356, 351, 356, 351, 351, 356, 356, 356, 351, 356
356, 351, 351, 351, 351, 351, 351, 351, 351, 356
356, 351, 356, 351, 351, 356, 356, 356, 351, 356
356, 351, 351, 351, 351, 351, 351, 351, 351, 356
356, 356, 356, 356, 351, 351, 356, 356, 356, 356
356, 351, 351, 351, 351, 351, 351, 351, 351, 356
356, 351, 351, 351, 351, 351, 351, 351, 351, 356
356, 356, 356, 356, 356, 356, 356, 356, 356, 356
